Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE77558,2021-09-04T10:35:30Z,IE77558,10381/140253,1812239,,FL16007647,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16007647
oai:rosetta.slv.vic.gov.au:IE775580,2021-09-03T21:13:51Z,IE775580,10381/419008,1787912,,FL15615845,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15615845
oai:rosetta.slv.vic.gov.au:IE7755835,2021-09-04T21:38:13Z,IE7755835,10381/297252,977584,,FL19442506,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19442506
oai:rosetta.slv.vic.gov.au:IE7755881,2021-09-03T21:13:54Z,IE7755881,10381/301825,977584,,FL19470655,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19470655
oai:rosetta.slv.vic.gov.au:IE775590,2021-09-03T21:13:55Z,IE775590,10381/417898,1726091,H98.105/3860,FL15786813,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15786813
oai:rosetta.slv.vic.gov.au:IE7755911,2021-09-03T21:13:56Z,IE7755911,10381/301647,977584,,FL19454726,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19454726
oai:rosetta.slv.vic.gov.au:IE7755949,2021-09-03T21:13:57Z,IE7755949,10381/302537,977584,,FL19478688,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19478688
oai:rosetta.slv.vic.gov.au:IE775596,2021-09-04T16:39:02Z,IE775596,10381/241640,1693221,,FL15891909,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15891909
oai:rosetta.slv.vic.gov.au:IE775599,2021-09-03T21:13:58Z,IE775599,10381/415170,1726946,H98.105/5065,FL15892093,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15892093
oai:rosetta.slv.vic.gov.au:IE7760619,2021-09-03T21:17:00Z,IE7760619,10381/302501,977584,,FL19448453,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19448453
oai:rosetta.slv.vic.gov.au:IE776065,2021-09-04T10:39:35Z,IE776065,10381/237918,1689552,,FL15845947,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15845947
oai:rosetta.slv.vic.gov.au:IE776068,2021-09-03T21:17:01Z,IE776068,10381/257488,1776503,,FL15562033,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15562033
oai:rosetta.slv.vic.gov.au:IE7760694,2021-09-04T21:39:32Z,IE7760694,10381/301654,977584,,FL19440954,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19440954
oai:rosetta.slv.vic.gov.au:IE776074,2021-09-03T21:17:03Z,IE776074,10381/414711,1789376,H2002.199/637,FL15610271,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15610271
oai:rosetta.slv.vic.gov.au:IE7760748,2021-09-03T21:17:04Z,IE7760748,10381/297546,977584,,FL19477754,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19477754
oai:rosetta.slv.vic.gov.au:IE776077,2021-09-03T21:17:05Z,IE776077,10381/237730,1689969,,FL15615313,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15615313
oai:rosetta.slv.vic.gov.au:IE776080,2021-09-03T21:17:05Z,IE776080,10381/259033,1789287,,FL16340655,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16340655
